season,home,away,full_home_score,full_away_score,result,home_team,P_h,W_h,D_h,L_h,GF_h,GA_h,GD_h,Pts_h,raised_h,home_bs,away_bs,h_skill,HA,away_team,P_a,W_a,D_a,L_a,GF_a,GA_a,GD_a,Pts_a,raised_a,a_skill,home_team_fixed,home_bs_fixed,away_bs_fixed,h_skill_fixed,HA_fixed,away_team_fixed,a_skill_fixed
1112,Parma Calcio 1913,Chievo,2,0,1,Parma Calcio 1913,38,15,11,12,54,53,1,56,0,0.37061805032272005,0.025470678273580058,-0.20970584863749114,0.42283183640722366,Chievo,38,12,13,13,35,45,-10,49,0,-0.32549842092836984,Parma Calcio 1913,0.37132332761721726,0.14467960649918196,-0.21041361042494366,0.29398246802261285,Chievo,-0.3205604730894166
1112,Cagliari,Atalanta,1,1,0,Cagliari,38,10,13,15,37,46,-9,43,0,0.37061805032272005,0.025470678273580058,-0.309987723780693,0.42283183640722366,Atalanta,38,13,13,12,41,43,-2,46,0,-0.27360608000715075,Cagliari,0.37132332761721726,0.14467960649918196,-0.3059037066675949,0.29398246802261285,Atalanta,-0.27125765489622017
1112,Lazio,Palermo FC,3,0,1,Lazio,38,18,8,12,56,47,9,62,0,0.37061805032272005,0.025470678273580058,-0.14996925568506886,0.42283183640722366,Palermo FC,38,11,10,17,52,62,-10,43,0,-0.3274997780178795,Lazio,0.37132332761721726,0.14467960649918196,-0.15268180413156043,0.29398246802261285,Palermo FC,-0.32186762264049223
1112,Udinese,Juventus,1,4,-1,Udinese,38,18,10,10,52,35,17,64,0,0.37061805032272005,0.025470678273580058,-0.1314970990223281,0.42283183640722366,Juventus,38,23,15,0,68,20,48,84,0,0.17837158182133084,Udinese,0.37132332761721726,0.14467960649918196,-0.13398987272383842,0.29398246802261285,Juventus,0.1627701268025858
1112,Catania,Genoa,3,2,1,Catania,38,11,15,12,47,52,-5,48,0,0.37061805032272005,0.025470678273580058,-0.2838699222809823,0.42283183640722366,Genoa,38,11,9,18,50,69,-19,42,0,-0.34344730397693224,Catania,0.37132332761721726,0.14467960649918196,-0.2800693685067805,0.29398246802261285,Genoa,-0.33839744125832383
1112,Palermo FC,Cagliari,1,1,0,Palermo FC,38,11,10,17,52,62,-10,43,0,0.37061805032272005,0.025470678273580058,-0.3274997780178795,0.42283183640722366,Cagliari,38,10,13,15,37,46,-9,43,0,-0.309987723780693,Palermo FC,0.37132332761721726,0.14467960649918196,-0.32186762264049223,0.29398246802261285,Cagliari,-0.3059037066675949
1112,AC Milan,Atalanta,0,1,-1,AC Milan,38,24,8,6,74,33,41,80,0,0.37061805032272005,0.025470678273580058,0,0.42283183640722366,Atalanta,38,13,13,12,41,43,-2,46,0,-0.27360608000715075,AC Milan,0.37132332761721726,0.14467960649918196,0,0.29398246802261285,Atalanta,-0.27125765489622017
1112,Chievo,Lazio,1,3,-1,Chievo,38,12,13,13,35,45,-10,49,0,0.37061805032272005,0.025470678273580058,-0.32549842092836984,0.42283183640722366,Lazio,38,18,8,12,56,47,9,62,0,-0.14996925568506886,Chievo,0.37132332761721726,0.14467960649918196,-0.3205604730894166,0.29398246802261285,Lazio,-0.15268180413156043
1112,Napoli,Parma Calcio 1913,3,1,1,Napoli,38,16,13,9,66,46,20,61,0,0.37061805032272005,0.025470678273580058,0.006194796712517312,0.42283183640722366,Parma Calcio 1913,38,15,11,12,54,53,1,56,0,-0.20970584863749114,Napoli,0.37132332761721726,0.14467960649918196,-0.003029926315881371,0.29398246802261285,Parma Calcio 1913,-0.21041361042494366
1112,Torino,Inter,0,2,-1,Torino,42,24,11,7,57,28,29,83,1,0.37061805032272005,0.025470678273580058,-0.219886470332759,0.42283183640722366,Inter,38,17,7,14,58,55,3,58,0,-0.1721080694934181,Torino,0.37132332761721726,0.14467960649918196,-0.22107422622448097,0.29398246802261285,Inter,-0.1744957411662017
1112,Roma,Bologna,2,3,-1,Roma,38,16,8,14,60,54,6,56,0,0.37061805032272005,0.025470678273580058,-0.09346356883450958,0.42283183640722366,Bologna,38,13,12,13,41,43,-2,51,0,-0.28410136086857923,Roma,0.37132332761721726,0.14467960649918196,-0.10059217026941045,0.29398246802261285,Bologna,-0.2801692680234945
1112,Robur Siena,Udinese,2,2,0,Robur Siena,38,11,11,16,45,45,0,44,0,0.37061805032272005,0.025470678273580058,-0.2894446034469137,0.42283183640722366,Udinese,38,18,10,10,52,35,17,64,0,-0.1314970990223281,Robur Siena,0.37132332761721726,0.14467960649918196,-0.2852222948707167,0.29398246802261285,Udinese,-0.13398987272383842
1112,Genoa,Juventus,1,3,-1,Genoa,38,11,9,18,50,69,-19,42,0,0.37061805032272005,0.025470678273580058,-0.34344730397693224,0.42283183640722366,Juventus,38,23,15,0,68,20,48,84,0,0.17837158182133084,Genoa,0.37132332761721726,0.14467960649918196,-0.33839744125832383,0.29398246802261285,Juventus,0.1627701268025858
1112,Fiorentina,Catania,2,0,1,Fiorentina,38,11,13,14,37,43,-6,46,0,0.37061805032272005,0.025470678273580058,-0.15558807943098169,0.42283183640722366,Catania,38,11,15,12,47,52,-5,48,0,-0.2838699222809823,Fiorentina,0.37132332761721726,0.14467960649918196,-0.15967905000670118,0.29398246802261285,Catania,-0.2800693685067805
1112,Pescara,Sampdoria,2,3,-1,Pescara,42,26,5,11,90,55,35,83,1,0.37061805032272005,0.025470678273580058,-0.5773246768863565,0.42283183640722366,Sampdoria,42,17,16,9,53,34,19,67,1,-0.2765401132876709,Pescara,0.37132332761721726,0.14467960649918196,-0.5602414840428122,0.29398246802261285,Sampdoria,-0.2741842382251254
1112,Juventus,Chievo,2,0,1,Juventus,38,23,15,0,68,20,48,84,0,0.37061805032272005,0.025470678273580058,0.17837158182133084,0.42283183640722366,Chievo,38,12,13,13,35,45,-10,49,0,-0.32549842092836984,Juventus,0.37132332761721726,0.14467960649918196,0.1627701268025858,0.29398246802261285,Chievo,-0.3205604730894166
1112,Parma Calcio 1913,Fiorentina,1,1,0,Parma Calcio 1913,38,15,11,12,54,53,1,56,0,0.37061805032272005,0.025470678273580058,-0.20970584863749114,0.42283183640722366,Fiorentina,38,11,13,14,37,43,-6,46,0,-0.15558807943098169,Parma Calcio 1913,0.37132332761721726,0.14467960649918196,-0.21041361042494366,0.29398246802261285,Fiorentina,-0.15967905000670118
1112,Catania,Napoli,0,0,0,Catania,38,11,15,12,47,52,-5,48,0,0.37061805032272005,0.025470678273580058,-0.2838699222809823,0.42283183640722366,Napoli,38,16,13,9,66,46,20,61,0,0.006194796712517312,Catania,0.37132332761721726,0.14467960649918196,-0.2800693685067805,0.29398246802261285,Napoli,-0.003029926315881371
1112,Lazio,Genoa,0,1,-1,Lazio,38,18,8,12,56,47,9,62,0,0.37061805032272005,0.025470678273580058,-0.14996925568506886,0.42283183640722366,Genoa,38,11,9,18,50,69,-19,42,0,-0.34344730397693224,Lazio,0.37132332761721726,0.14467960649918196,-0.15268180413156043,0.29398246802261285,Genoa,-0.33839744125832383
1112,Sampdoria,Torino,1,1,0,Sampdoria,42,17,16,9,53,34,19,67,1,0.37061805032272005,0.025470678273580058,-0.2765401132876709,0.42283183640722366,Torino,42,24,11,7,57,28,29,83,1,-0.219886470332759,Sampdoria,0.37132332761721726,0.14467960649918196,-0.2741842382251254,0.29398246802261285,Torino,-0.22107422622448097
1112,Atalanta,Palermo FC,1,0,1,Atalanta,38,13,13,12,41,43,-2,46,0,0.37061805032272005,0.025470678273580058,-0.27360608000715075,0.42283183640722366,Palermo FC,38,11,10,17,52,62,-10,43,0,-0.3274997780178795,Atalanta,0.37132332761721726,0.14467960649918196,-0.27125765489622017,0.29398246802261285,Palermo FC,-0.32186762264049223
1112,Bologna,Pescara,1,1,0,Bologna,38,13,12,13,41,43,-2,51,0,0.37061805032272005,0.025470678273580058,-0.28410136086857923,0.42283183640722366,Pescara,42,26,5,11,90,55,35,83,1,-0.5773246768863565,Bologna,0.37132332761721726,0.14467960649918196,-0.2801692680234945,0.29398246802261285,Pescara,-0.5602414840428122
1112,Udinese,AC Milan,2,1,1,Udinese,38,18,10,10,52,35,17,64,0,0.37061805032272005,0.025470678273580058,-0.1314970990223281,0.42283183640722366,AC Milan,38,24,8,6,74,33,41,80,0,0,Udinese,0.37132332761721726,0.14467960649918196,-0.13398987272383842,0.29398246802261285,AC Milan,0
1112,Inter,Robur Siena,0,2,-1,Inter,38,17,7,14,58,55,3,58,0,0.37061805032272005,0.025470678273580058,-0.1721080694934181,0.42283183640722366,Robur Siena,38,11,11,16,45,45,0,44,0,-0.2894446034469137,Inter,0.37132332761721726,0.14467960649918196,-0.1744957411662017,0.29398246802261285,Robur Siena,-0.2852222948707167
1112,Fiorentina,Juventus,0,0,0,Fiorentina,38,11,13,14,37,43,-6,46,0,0.37061805032272005,0.025470678273580058,-0.15558807943098169,0.42283183640722366,Juventus,38,23,15,0,68,20,48,84,0,0.17837158182133084,Fiorentina,0.37132332761721726,0.14467960649918196,-0.15967905000670118,0.29398246802261285,Juventus,0.1627701268025858
1112,Roma,Sampdoria,1,1,0,Roma,38,16,8,14,60,54,6,56,0,0.37061805032272005,0.025470678273580058,-0.09346356883450958,0.42283183640722366,Sampdoria,42,17,16,9,53,34,19,67,1,-0.2765401132876709,Roma,0.37132332761721726,0.14467960649918196,-0.10059217026941045,0.29398246802261285,Sampdoria,-0.2741842382251254
1112,Chievo,Inter,0,2,-1,Chievo,38,12,13,13,35,45,-10,49,0,0.37061805032272005,0.025470678273580058,-0.32549842092836984,0.42283183640722366,Inter,38,17,7,14,58,55,3,58,0,-0.1721080694934181,Chievo,0.37132332761721726,0.14467960649918196,-0.3205604730894166,0.29398246802261285,Inter,-0.1744957411662017
1112,AC Milan,Cagliari,2,0,1,AC Milan,38,24,8,6,74,33,41,80,0,0.37061805032272005,0.025470678273580058,0,0.42283183640722366,Cagliari,38,10,13,15,37,46,-9,43,0,-0.309987723780693,AC Milan,0.37132332761721726,0.14467960649918196,0,0.29398246802261285,Cagliari,-0.3059037066675949
